Group Number,Activity,Timestamp
4,First download of assignment,2021-12-09 07:30:00+00:00
4,Revisit PM Exercise in Moodle,2021-12-09 14:02:00+00:00
4,Coordinate with Assignment Group,2021-12-09 14:23:00+00:00
4,Solve tasks together,2021-12-09 14:56:00+00:00
4,Recheck/Compare Task Results,2021-12-09 15:05:00+00:00
4,Submit results,2021-12-09 15:11:00+00:00
1,First download of assignment,2021-12-09 07:30:00+00:00
1,Revisit PM Exercise in Moodle,2021-12-09 14:55:00+00:00
1,Solve tasks individually,2021-12-09 15:22:00+00:00
1,Recheck/Compare Task Results,2021-12-09 15:28:00+00:00
1,Redo Task(s),2021-12-09 15:34:00+00:00
1,Coordinate with Assignment Group,2021-12-09 15:35:00+00:00
1,Solve tasks individually,2021-12-09 15:43:00+00:00
1,Recheck/Compare Task Results,2021-12-09 15:49:00+00:00
1,Submit results,2021-12-09 15:54:00+00:00
3,First download of assignment,2021-12-09 07:30:00+00:00
3,Revisit PM Exercise in Moodle,2021-12-09 15:22:00+00:00
3,Coordinate with Assignment Group,2021-12-09 16:05:00+00:00
3,Solve tasks together,2021-12-09 16:25:00+00:00
3,Recheck/Compare Task Results,2021-12-09 16:34:00+00:00
3,Submit results,2021-12-09 16:41:00+00:00
6,First download of assignment,2021-12-09 07:30:00+00:00
6,Revisit PM Exercise in Moodle,2021-12-09 16:59:00+00:00
6,Coordinate with Assignment Group,2021-12-09 17:23:00+00:00
6,Solve tasks individually,2021-12-09 17:26:00+00:00
6,Recheck/Compare Task Results,2021-12-09 17:32:00+00:00
6,Submit results,2021-12-09 17:37:00+00:00
2,First download of assignment,2021-12-09 07:30:00+00:00
2,Revisit PM Exercise in Moodle,2021-12-10 18:00:00+00:00
2,Solve tasks individually,2021-12-13 15:00:00+00:00
2,Recheck/Compare Task Results,2021-12-13 15:10:00+00:00
2,Redo Task(s),2021-12-13 15:18:00+00:00
2,Coordinate with Assignment Group,2021-12-13 15:26:00+00:00
2,Solve tasks individually,2021-12-13 15:35:00+00:00
2,Recheck/Compare Task Results,2021-12-13 15:42:00+00:00
2,Submit results,2021-12-13 15:52:00+00:00
7,First download of assignment,2021-12-13 07:30:00+00:00
7,Revisit PM Exercise in Moodle,2021-12-14 17:00:00+00:00
7,Coordinate with Assignment Group,2021-12-14 17:38:00+00:00
7,Solve tasks together,2021-12-14 17:46:00+00:00
7,Recheck/Compare Task Results,2021-12-14 17:54:00+00:00
7,Submit results,2021-12-15 08:04:00+00:00
9,First download of assignment,2021-12-15 07:30:00+00:00
9,Revisit PM Exercise in Moodle,2021-12-15 09:58:00+00:00
9,Coordinate with Assignment Group,2021-12-15 10:13:00+00:00
9,Solve tasks together,2021-12-15 11:03:00+00:00
9,Recheck/Compare Task Results,2021-12-15 11:08:00+00:00
9,Submit results,2021-12-15 11:13:00+00:00
19,First download of assignment,2021-12-15 07:30:00+00:00
19,Revisit PM Exercise in Moodle,2021-12-15 10:18:00+00:00
19,Solve tasks individually,2021-12-15 10:50:00+00:00
19,Recheck/Compare Task Results,2021-12-15 10:57:00+00:00
19,Coordinate with Assignment Group,2021-12-15 11:08:00+00:00
19,Submit results,2021-12-15 11:08:00+00:00
13,First download of assignment,2021-12-15 07:30:00+00:00
13,Revisit PM Exercise in Moodle,2021-12-15 10:24:00+00:00
13,Solve tasks individually,2021-12-15 10:42:00+00:00
13,Recheck/Compare Task Results,2021-12-15 10:51:00+00:00
13,Submit results,2021-12-15 11:05:00+00:00
13,Coordinate with Assignment Group,2021-12-15 11:05:00+00:00
11,First download of assignment,2021-12-15 07:30:00+00:00
11,Revisit PM Exercise in Moodle,2021-12-15 13:58:00+00:00
11,Coordinate with Assignment Group,2021-12-15 14:18:00+00:00
11,Solve tasks together,2021-12-15 14:19:00+00:00
11,Recheck/Compare Task Results,2021-12-15 14:29:00+00:00
11,Submit results,2021-12-15 14:38:00+00:00
16,First download of assignment,2021-12-15 07:30:00+00:00
16,Revisit PM Exercise in Moodle,2021-12-15 14:09:00+00:00
16,Coordinate with Assignment Group,2021-12-15 14:45:00+00:00
16,Solve tasks individually,2021-12-15 14:48:00+00:00
16,Recheck/Compare Task Results,2021-12-15 14:58:00+00:00
16,Submit results,2021-12-15 15:06:00+00:00
12,First download of assignment,2021-12-15 07:30:00+00:00
12,Revisit PM Exercise in Moodle,2021-12-15 14:29:00+00:00
12,Coordinate with Assignment Group,2021-12-15 14:44:00+00:00
12,Solve tasks together,2021-12-15 15:05:00+00:00
12,Recheck/Compare Task Results,2021-12-15 15:10:00+00:00
12,Submit results,2021-12-15 15:19:00+00:00
15,First download of assignment,2021-12-15 07:30:00+00:00
15,Revisit PM Exercise in Moodle,2021-12-15 15:28:00+00:00
15,Solve tasks individually,2021-12-15 15:35:00+00:00
15,Recheck/Compare Task Results,2021-12-15 15:42:00+00:00
15,Coordinate with Assignment Group,2021-12-15 15:46:00+00:00
15,Submit results,2021-12-15 15:50:00+00:00
17,First download of assignment,2021-12-15 07:30:00+00:00
17,Revisit PM Exercise in Moodle,2021-12-15 15:30:00+00:00
17,Solve tasks individually,2021-12-15 15:57:00+00:00
17,Coordinate with Assignment Group,2021-12-15 16:00:00+00:00
17,Recheck/Compare Task Results,2021-12-15 16:02:00+00:00
17,Redo Task(s),2021-12-15 16:07:00+00:00
17,Solve tasks individually,2021-12-15 16:14:00+00:00
17,Recheck/Compare Task Results,2021-12-15 16:23:00+00:00
17,Redo Task(s),2021-12-15 16:29:00+00:00
17,Solve tasks individually,2021-12-15 16:36:00+00:00
17,Recheck/Compare Task Results,2021-12-15 16:46:00+00:00
17,Submit results,2021-12-15 16:51:00+00:00
18,First download of assignment,2021-12-15 07:30:00+00:00
18,Revisit PM Exercise in Moodle,2021-12-15 16:05:00+00:00
18,Solve tasks together,2021-12-15 16:22:00+00:00
18,Recheck/Compare Task Results,2021-12-15 16:31:00+00:00
18,Coordinate with Assignment Group,2021-12-15 16:39:00+00:00
18,Submit results,2021-12-15 16:41:00+00:00
