album,lyric
Taylor Swift,He said the way my blue eyes shined
Taylor Swift,Put those Georgia stars to shame that night
Taylor Swift,"I said, ""That's a lie"""
Taylor Swift,Just a boy in a Chevy truck
Taylor Swift,That had a tendency of gettin' stuck
Taylor Swift,On back roads at night
Taylor Swift,And I was right there beside him all summer long
Taylor Swift,And then the time we woke up to find that summer gone
Taylor Swift,But when you think Tim McGraw
Taylor Swift,I hope you think my favorite song
Taylor Swift,The one we danced to all night long
Taylor Swift,The moon like a spotlight on the lake
Taylor Swift,When you think happiness
Taylor Swift,I hope you think that little black dress
Taylor Swift,Think of my head on your chest
Taylor Swift,And my old faded blue jeans
Taylor Swift,When you think Tim McGraw
Taylor Swift,I hope you think of me
Taylor Swift,September saw a month of tears
Taylor Swift,And thankin' God that you weren't here
Taylor Swift,To see me like that
Taylor Swift,But in a box beneath my bed
Taylor Swift,Is a letter that you never read
Taylor Swift,From three summers back
Taylor Swift,It's hard not to find it all a little bittersweet
Taylor Swift,"And lookin' back on all of that, it's nice to believe"
Taylor Swift,When you think Tim McGraw
Taylor Swift,I hope you think my favorite song
Taylor Swift,The one we danced to all night long
Taylor Swift,The moon like a spotlight on the lake
Taylor Swift,When you think happiness
Taylor Swift,I hope you think that little black dress
Taylor Swift,Think of my head on your chest
Taylor Swift,And my old faded blue jeans
Taylor Swift,When you think Tim McGraw
Taylor Swift,I hope you think of me
Taylor Swift,And I'm back for the first time since then
Taylor Swift,I'm standin' on your street
Taylor Swift,And there's a letter left on your doorstep
Taylor Swift,And the first thing that you'll read is:
Taylor Swift,"""When you think Tim McGraw"
Taylor Swift,I hope you think my favorite song
Taylor Swift,Someday you'll turn your radio on
Taylor Swift,"I hope it takes you back to that place"""
Taylor Swift,When you think happiness
Taylor Swift,I hope you think that little black dress
Taylor Swift,Think of my head on your chest
Taylor Swift,And my old faded blue jeans
Taylor Swift,When you think Tim McGraw
Taylor Swift,I hope you think of me
Taylor Swift,"Oh, think of me"
Taylor Swift,Mmmm
Taylor Swift,He said the way my blue eyes shined
Taylor Swift,Put those Georgia stars to shame that night
Taylor Swift,"I said, ""That's a lie"""
Taylor Swift,"State the obvious, I didn't get my perfect fantasy"
Taylor Swift,I realize you love yourself more than you could ever love me
Taylor Swift,So go and tell your friends that I'm obsessive and crazy
Taylor Swift,That's fine I'll tell mine that you're gay!
Taylor Swift,By the way...
Taylor Swift,I hate that stupid old pickup truck
Taylor Swift,You never let me drive
Taylor Swift,You're a redneck heartbreak
Taylor Swift,Who's really bad at lying
Taylor Swift,So watch me strike a match
Taylor Swift,On all my wasted time
Taylor Swift,As far as I'm concerned
Taylor Swift,You're just another picture to burn!
Taylor Swift,There's no time for tears
Taylor Swift,I'm just sitting here planning my revenge
Taylor Swift,There's nothing stopping me
Taylor Swift,From going out with all of your best friends
Taylor Swift,And if you come around saying sorry to me
